Study,PLOT_ID,year,site,lat,long,col_vec,appositus,balteatus,bifarius,californicus,centralis,fernaldae,fervidus,flavifrons,griseocollis,huntii,insularis,melanopygus,mixtus,nevadensis,occidentalis,pensylvanicus,rufocinctus,sylvicola
Gelles et al. 2023-AFE,RFX-B28-08,2020,RFX,40.85585018,-105.5725595,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2023-AFE,RFX-B28-09,2018,RFX,40.86353784,-105.5718544,1,1,0,2,0,12,0,0,4,0,3,0,10,0,1,0,0,1,2
Gelles et al. 2023-AFE,RFX-B28-09,2020,RFX,40.86353784,-105.5718544,1,0,0,4,3,5,0,0,0,0,1,0,0,0,1,1,0,2,0
Gelles et al. 2023-AFE,RFX-B28-17,2018,RFX,40.85398138,-105.5894616,1,7,0,0,1,8,0,0,6,0,0,5,5,0,0,0,0,1,5
Gelles et al. 2023-AFE,RFX-B28-17,2020,RFX,40.85398138,-105.5894616,1,0,0,10,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0
Gelles et al. 2023-AFE,RFX-B28-N-03,2018,RFX,40.8678516,-105.5611047,1,8,0,0,0,5,0,0,8,0,1,2,5,0,0,0,0,5,4
Gelles et al. 2023-AFE,RFX-B28-N-03,2020,RFX,40.8678516,-105.5611047,1,1,0,8,0,3,1,0,0,0,0,0,0,0,1,0,0,2,0
Gelles et al. 2023-AFE,RFX-B28-N-06,2018,RFX,40.86571746,-105.5646228,1,2,0,0,0,8,0,0,5,0,2,1,25,0,1,0,0,5,0
Gelles et al. 2023-AFE,RFX-B28-N-06,2020,RFX,40.86571746,-105.5646228,1,3,0,24,0,3,0,0,0,1,0,0,0,0,1,1,0,4,0
Gelles et al. 2023-AFE,RFX-B28-S-02,2018,RFX,40.86315471,-105.5655147,1,7,0,0,0,11,0,0,1,0,1,0,4,0,0,0,0,1,3
Gelles et al. 2023-AFE,RFX-B28-S-02,2020,RFX,40.86315471,-105.5655147,1,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
Gelles et al. 2023-AFE,RFX-C28-N-03,2018,RFX,40.85793034,-105.5888204,1,2,0,0,0,4,0,0,1,0,0,2,2,0,0,0,0,2,2
Gelles et al. 2023-AFE,RFX-C28-N-03,2020,RFX,40.85793034,-105.5888204,1,1,0,5,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0
Gelles et al. 2023-AFE,RFX-C28-N-04,2018,RFX,40.86068642,-105.587148,1,0,0,0,0,10,0,0,2,0,1,0,9,0,0,0,0,0,0
Gelles et al. 2023-AFE,RFX-C28-N-04,2020,RFX,40.86068642,-105.587148,1,1,0,3,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0
Gelles et al. 2023-AFE,RFX-C28-P-04,2018,RFX,40.86594773,-105.5835159,1,2,0,1,0,4,0,0,9,0,0,0,0,0,0,0,0,0,4
Gelles et al. 2023-AFE,RFX-C28-P-04,2020,RFX,40.86594773,-105.5835159,1,0,0,9,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0
Gelles et al. 2023-AFE,RFX-C28-P-05,2018,RFX,40.87001139,-105.5779741,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Gelles et al. 2023-AFE,RFX-C28-P-05,2020,RFX,40.87001139,-105.5779741,1,3,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0
Gelles et al. 2023-AFE,RFX-C28-P-06,2018,RFX,40.84891269,-105.5352491,1,0,0,0,0,15,0,0,6,0,0,0,6,0,0,0,0,0,2
Gelles et al. 2023-AFE,RFX-C28-P-06,2020,RFX,40.84891269,-105.5352491,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
Gelles et al. 2023-AFE,RFX-C28-S-03,2018,RFX,40.84662132,-105.5398097,1,3,0,0,0,3,0,0,6,0,0,0,8,0,0,0,0,0,0
Gelles et al. 2023-AFE,RFX-C28-S-03,2020,RFX,40.84662132,-105.5398097,1,1,0,4,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0
Gelles et al. 2023-AFE,RFX-C28-S-05,2018,RFX,40.84553529,-105.537025,1,5,0,0,0,21,0,0,8,0,0,1,1,0,1,0,0,1,3
Gelles et al. 2023-AFE,RFX-C28-S-05,2020,RFX,40.84553529,-105.537025,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1
Gelles et al. 2022-FEM,C01,2019,Heil Ranch,40.18354928,-105.2934661,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Gelles et al. 2022-FEM,C03,2019,Heil Ranch,40.16559099,-105.294387,2,8,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,C05,2019,Gold Hill,40.16559099,-105.294387,2,1,0,16,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,C05,2020,Gold Hill,40.16559099,-105.294387,2,2,0,10,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
Gelles et al. 2022-FEM,C06,2019,Sugarloaf Mountain,40.01069,-105.21459,2,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Gelles et al. 2022-FEM,C06,2020,Sugarloaf Mountain,40.01069,-105.21459,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,C08,2019,Anemone Hill,40.02156357,-105.3113804,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,C10,2019,Shanahan Ridge,39.96092334,-105.2699852,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gelles et al. 2022-FEM,C10,2020,Shanahan Ridge,39.96092334,-105.2699852,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,C11,2019,Flagstaff Mountain,39.97071904,-105.3088778,2,4,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,C13,2019,Shanahan Ridge,39.95861695,-105.2812978,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gelles et al. 2022-FEM,C13,2020,Shanahan Ridge,39.95861695,-105.2812978,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,C21,2019,Flagstaff Mountain,39.96102801,-105.3109183,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
Gelles et al. 2022-FEM,C21,2020,Flagstaff Mountain,39.96102801,-105.3109183,2,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1
Gelles et al. 2022-FEM,H03,2019,Gold Hill,40.06298363,-105.3961593,2,1,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,11,0
Gelles et al. 2022-FEM,H03,2020,Gold Hill,40.06298363,-105.3961593,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Gelles et al. 2022-FEM,H04,2019,Gold Hill,40.06570148,-105.3970546,2,1,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,3,0
Gelles et al. 2022-FEM,H04,2020,Gold Hill,40.06570148,-105.3970546,2,2,0,2,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0
Gelles et al. 2022-FEM,H05,2019,Gold Hill,40.05886084,-105.4106395,2,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Gelles et al. 2022-FEM,H05,2020,Gold Hill,40.05886084,-105.4106395,2,4,0,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,H06,2019,Gold Hill,40.04906027,-105.4075326,2,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0
Gelles et al. 2022-FEM,H06,2020,Gold Hill,40.04906027,-105.4075326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gelles et al. 2022-FEM,H08,2019,Gold Hill,40.0452829,-105.4056227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gelles et al. 2022-FEM,H08,2020,Gold Hill,40.0452829,-105.4056227,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,H09,2019,Sugarloaf Mountain,40.03126498,-105.4027033,2,4,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0
Gelles et al. 2022-FEM,H09,2020,Sugarloaf Mountain,40.03126498,-105.4027033,2,4,0,3,0,0,0,1,1,1,0,1,0,0,5,0,0,4,1
Gelles et al. 2022-FEM,H11,2019,Sugarloaf Mountain,40.03397532,-105.3818795,2,7,0,0,0,2,0,0,0,0,2,0,2,0,1,1,0,1,1
Gelles et al. 2022-FEM,H11,2020,Sugarloaf Mountain,40.03397532,-105.3818795,2,7,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1
Gelles et al. 2022-FEM,H13,2019,Anemone Hill,40.01619192,-105.3052979,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gelles et al. 2022-FEM,H13,2020,Anemone Hill,40.01619192,-105.3052979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gelles et al. 2022-FEM,H14,2019,Flagstaff Mountain,39.9636285,-105.3019611,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0
Gelles et al. 2022-FEM,H14,2020,Flagstaff Mountain,39.9636285,-105.3019611,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,H18,2019,Flagstaff Mountain,39.96157515,-105.3118341,2,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0
Gelles et al. 2022-FEM,H18,2020,Flagstaff Mountain,39.96157515,-105.3118341,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
Gelles et al. 2022-FEM,L01,2019,Gold Hill,40.06550806,-105.3930079,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,27,1
Gelles et al. 2022-FEM,L01,2020,Gold Hill,40.06550806,-105.3930079,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,L02,2019,Gold Hill,40.0650235,-105.3950806,2,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,L02,2020,Gold Hill,40.0650235,-105.3950806,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,L04,2019,Gold Hill,40.06695472,-105.3941537,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0
Gelles et al. 2022-FEM,L06,2019,Gold Hill,40.05382874,-105.4042899,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,L07,2019,Gold Hill,40.05209387,-105.4031424,2,0,0,2,0,8,0,0,1,0,1,0,0,0,0,0,0,4,0
Gelles et al. 2022-FEM,L07,2020,Gold Hill,40.05209387,-105.4031424,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,L08,2019,Sugarloaf Mountain,40.02966982,-105.405413,2,1,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,2,0
Gelles et al. 2022-FEM,L08,2020,Sugarloaf Mountain,40.02966982,-105.405413,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Gelles et al. 2022-FEM,L09,2019,Anemone Hill,40.01783082,-105.3056333,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Gelles et al. 2022-FEM,L11,2019,Anemone Hill,40.0203989,-105.3089142,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gelles et al. 2022-FEM,L12,2019,Flagstaff Mountain,39.96017065,-105.30122,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Gelles et al. 2022-FEM,L12,2020,Flagstaff Mountain,39.96017065,-105.30122,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,L13,2019,Flagstaff Mountain,39.9586035,-105.3010024,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,L13,2020,Flagstaff Mountain,39.9586035,-105.3010024,2,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
Gelles et al. 2022-FEM,T01,2019,Heil Ranch,40.15179404,-105.3026754,2,11,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T01,2020,Heil Ranch,40.15179404,-105.3026754,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T03,2019,Heil Ranch,40.1546326,-105.3058934,2,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T04,2019,Heil Ranch,40.1819115,-105.2926956,2,12,0,2,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0
Gelles et al. 2022-FEM,T05,2019,Heil Ranch,40.17852111,-105.2938086,2,6,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,2,0
Gelles et al. 2022-FEM,T05,2020,Heil Ranch,40.17852111,-105.2938086,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T07,2019,Bald Mountain,40.04439216,-105.3409199,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T07,2020,Bald Mountain,40.04439216,-105.3409199,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T08,2019,Gold Hill,40.06747138,-105.4011223,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Gelles et al. 2022-FEM,T08,2020,Gold Hill,40.06747138,-105.4011223,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T11,2019,Anemone Hill,40.01956485,-105.3174884,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T12,2019,Shanahan Ridge,39.9616389,-105.27525,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Gelles et al. 2022-FEM,T12,2020,Shanahan Ridge,39.9616389,-105.27525,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T13,2020,Shanahan Ridge,39.96158679,-105.2752098,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Gelles et al. 2022-FEM,T15,2019,Flagstaff Mountain,39.96810682,-105.3251191,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,FIRST_CRK_1,2018,FIRST_CRK_1,39.82803,-105.76986,3,0,4,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0
Davis et al. 2020-SciRep,FIRST_CRK_2,2018,FIRST_CRK_2,39.82675,-105.76741,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Davis et al. 2020-SciRep,SECOND_CRK_1,2018,SECOND_CRK_1,39.8221,-105.76745,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Davis et al. 2020-SciRep,BERTH_PASS_1,2018,BERTH_PASS_1,39.80175,-105.77839,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Davis et al. 2020-SciRep,BERTH_PASS_2,2018,BERTH_PASS_2,39.79459,-105.78715,3,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Davis et al. 2020-SciRep,BERTH_PASS_3,2018,BERTH_PASS_3,39.78765,-105.79621,3,0,8,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0
Davis et al. 2020-SciRep,BERTH_PASS_4,2018,BERTH_PASS_4,39.78329,-105.78966,3,0,1,2,0,0,0,0,2,0,2,0,8,0,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_1,2018,CAM_PASS_1,40.52103,-105.89491,3,0,0,1,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_2,2018,CAM_PASS_2,40.52195,-105.89459,3,0,1,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_3,2018,CAM_PASS_3,40.50707,-105.88746,3,0,2,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_4,2018,CAM_PASS_4,40.5617,-105.87312,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_5,2018,CAM_PASS_5,40.54966,-105.87963,3,0,1,0,0,0,1,0,3,0,1,0,2,7,0,1,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_6,2018,CAM_PASS_6,40.53367,-105.88625,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,CO_ST_PK_1,2018,CO_ST_PK_1,40.50798,-105.91606,3,0,1,0,0,1,1,0,5,0,2,0,0,2,0,0,0,0,0
Davis et al. 2020-SciRep,CO_ST_PK_2,2018,CO_ST_PK_2,40.50906,-105.92128,3,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0
Davis et al. 2020-SciRep,CO_ST_PK_3,2018,CO_ST_PK_3,40.50543,-105.92624,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Davis et al. 2020-SciRep,CRNT_CRK_1,2018,CRNT_CRK_1,39.8093,-105.78031,3,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Davis et al. 2020-SciRep,GN_PASS_1,2018,GN_PASS_1,39.60228,-105.71097,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Davis et al. 2020-SciRep,GN_PASS_2,2018,GN_PASS_2,39.54909,-105.72019,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
Davis et al. 2020-SciRep,GN_PASS_3,2018,GN_PASS_3,39.54391,-105.71882,3,0,2,0,0,0,0,0,3,0,2,0,6,1,0,0,0,0,0
Davis et al. 2020-SciRep,GN_PASS_4,2018,GN_PASS_4,39.61515,-105.7171,3,0,4,1,0,2,0,0,2,0,0,0,3,6,0,0,0,0,0
Davis et al. 2020-SciRep,IL_PASS_1,2018,IL_PASS_1,40.30901,-105.97473,3,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0
Davis et al. 2020-SciRep,IL_PASS_2,2018,IL_PASS_2,40.30576,-105.97072,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,IL_PASS_3,2018,IL_PASS_3,40.31195,-105.97643,3,0,0,0,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0
Davis et al. 2020-SciRep,UTE_TR_1,2018,UTE_TR_1,40.50111,-105.93182,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,WIL_CRK_1,2018,WIL_CRK_1,40.34635,-106.09609,3,0,1,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,0
Davis et al. 2020-SciRep,WIL_CRK_2,2018,WIL_CRK_2,40.34883,-106.09111,3,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0
Davis et al. 2020-SciRep,FIRST_CRK_1,2019,FIRST_CRK_1,39.82803,-105.76986,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Davis et al. 2020-SciRep,FIRST_CRK_2,2019,FIRST_CRK_2,39.82675,-105.76741,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,SECOND_CRK_1,2019,SECOND_CRK_1,39.8221,-105.76745,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Davis et al. 2020-SciRep,BERTH_PASS_2,2019,BERTH_PASS_2,39.79459,-105.78715,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,BERTH_PASS_3,2019,BERTH_PASS_3,39.78765,-105.79621,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Davis et al. 2020-SciRep,BERTH_PASS_4,2019,BERTH_PASS_4,39.78329,-105.78966,3,0,0,18,0,0,0,0,2,0,1,0,2,2,0,0,0,0,1
Davis et al. 2020-SciRep,CAM_PASS_1,2019,CAM_PASS_1,40.52103,-105.89491,3,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_2,2019,CAM_PASS_2,40.52195,-105.89459,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_3,2019,CAM_PASS_3,40.50707,-105.88746,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_4,2019,CAM_PASS_4,40.5617,-105.87312,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Davis et al. 2020-SciRep,CAM_PASS_6,2019,CAM_PASS_6,40.53367,-105.88625,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,CO_ST_PK_1,2019,CO_ST_PK_1,40.50798,-105.91606,3,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Davis et al. 2020-SciRep,CO_ST_PK_2,2019,CO_ST_PK_2,40.50906,-105.92128,3,2,0,0,0,0,1,0,15,0,0,0,1,6,0,1,0,0,0
Davis et al. 2020-SciRep,CO_ST_PK_3,2019,CO_ST_PK_3,40.50543,-105.92624,3,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0
Davis et al. 2020-SciRep,CRNT_CRK_1,2019,CRNT_CRK_1,39.8093,-105.78031,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,GN_PASS_1,2019,GN_PASS_1,39.60228,-105.71097,3,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
Davis et al. 2020-SciRep,GN_PASS_2,2019,GN_PASS_2,39.54909,-105.72019,3,0,0,2,0,0,0,0,2,0,1,0,3,17,0,1,0,0,0
Davis et al. 2020-SciRep,GN_PASS_3,2019,GN_PASS_3,39.54391,-105.71882,3,0,0,1,0,0,0,0,9,0,2,0,6,15,0,0,0,0,0
Davis et al. 2020-SciRep,GN_PASS_4,2019,GN_PASS_4,39.61515,-105.7171,3,0,0,2,0,0,0,0,5,0,0,0,3,16,0,0,0,0,0
Davis et al. 2020-SciRep,IL_PASS_1,2019,IL_PASS_1,40.30901,-105.97473,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,IL_PASS_3,2019,IL_PASS_3,40.31195,-105.97643,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis et al. 2020-SciRep,JNS_PASS_1,2019,JNS_PASS_1,39.77405,-105.86103,3,0,0,2,0,0,0,0,2,0,1,0,2,5,0,0,0,0,0
Davis et al. 2020-SciRep,UTE_TR_1,2019,UTE_TR_1,40.50111,-105.93182,3,2,0,1,0,0,1,0,46,0,1,0,5,60,0,0,0,0,0
Davis et al. 2020-SciRep,WIL_CRK_1,2019,WIL_CRK_1,40.34635,-106.09609,3,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
Davis et al. 2020-SciRep,WIL_CRK_2,2019,WIL_CRK_2,40.34883,-106.09111,3,0,0,1,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0
Cora Davies 2021-thesis,C16,2020,C16,40.36409,-105.446,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Cora Davies 2021-thesis,C17,2020,C17,40.35866,-105.409,4,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Cora Davies 2021-thesis,C18,2020,C18,40.36409,-105.437,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
Cora Davies 2021-thesis,C19,2020,C19,40.3694,-105.428,4,0,0,8,1,11,0,0,0,0,2,0,0,0,0,0,0,0,0
Cora Davies 2021-thesis,C20,2020,C20,40.26212,-105.399,4,0,0,3,0,21,0,0,0,0,0,1,1,0,0,0,0,0,0
Cora Davies 2021-thesis,C21,2020,C21,40.24161,-105.416,4,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0
Cora Davies 2021-thesis,C22,2020,C22,40.26191,-105.41,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0
Cora Davies 2021-thesis,C23,2020,C23,39.34613,-105.306,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Cora Davies 2021-thesis,C24,2020,C24,39.34583,-105.298,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
